neighbourhood_cleansed,price,listings_count,latitude,longitude,accommodates,price_color,price_category
Mid-Beacon Hill,31.601865212976328,81,47.55423832303588,-122.3033741887018,3.54320987654321,#58D68D,Bottom 25%
Olympic Hills,30.80654761904762,28,47.724724638047505,-122.30420930180415,2.7142857142857144,#58D68D,Bottom 25%
Dunlap,30.4505376344086,31,47.52646620112991,-122.27324054717589,3.161290322580645,#58D68D,Bottom 25%
Rainier Beach,28.801662174303683,53,47.51334541438159,-122.2599654827848,3.9622641509433962,#58D68D,Bottom 25%
Arbor Heights,28.221014492753625,23,47.50970391207437,-122.37938303122625,4.043478260869565,#58D68D,Bottom 25%
Broadview,27.851355820105816,36,47.717348064237115,-122.36025130502952,3.9166666666666665,#58D68D,Bottom 25%
Highland Park,27.567011278195483,38,47.52787087302068,-122.34876678981611,3.1578947368421053,#58D68D,Bottom 25%
Rainier View,27.037808641975307,18,47.50195729556762,-122.26189895694104,4.0,#58D68D,Bottom 25%
Pinehurst,26.67864921536796,32,47.71682762440108,-122.31952482022744,3.75,#58D68D,Bottom 25%
South Delridge,26.468495934959353,41,47.52566092195482,-122.35956165050288,3.682926829268293,#58D68D,Bottom 25%
Brighton,25.668067226890752,51,47.53992340656045,-122.27707990096671,3.843137254901961,#58D68D,Bottom 25%
South Beacon Hill,24.901351351351348,37,47.52766681137423,-122.28689503268163,3.7837837837837838,#58D68D,Bottom 25%
Riverview,24.823658806471304,48,47.54386552201802,-122.35524042789753,3.9583333333333335,#58D68D,Bottom 25%
